method,seed,shd,shd_cpdag,f1,bic_per_row,test_loglik,test_neg_js,seconds
qlearn,6,7,11,0.4444444444444445,-2.279077525150588,-2.353017128978361,-0.0008268223015090664,93.07225199998356
true,7,0,0,1.0,-2.2265069149017664,-2.3106115786439436,-0.0009422250827044687,4.00003045797348e-07
hc,7,5,5,0.5,-2.227166810762069,-2.3094613752065962,-0.0026179436872222454,0.013437700050417334
tabu,7,5,5,0.5,-2.227166810762069,-2.3094613752065962,-0.0026179436872222454,0.013360400043893605
ges,7,2,1,0.7999999999999999,-2.225865676348638,-2.3093540608868035,-0.0010590443412622193,3.2225688999751583
rlbayes,7,11,11,0.22222222222222224,-2.2318194478138733,-2.312754961796085,-0.001762990818484943,0.8864712999784388
qlearn,7,7,8,0.5,-2.250807410036964,-2.3401683105521767,-0.0018962220366377325,89.79257950000465
true,8,0,0,1.0,-2.249350836551419,-2.179350932460666,-0.0005580514634645361,7.00005330145359e-07
hc,8,2,1,0.7999999999999999,-2.2487484402897153,-2.1786784170675886,-0.000479173069608452,0.009502500004600734
tabu,8,2,1,0.7999999999999999,-2.2487484402897153,-2.1786784170675886,-0.000479173069608452,0.008052799967117608
ges,8,2,1,0.7999999999999999,-2.2487484402897153,-2.178672809611367,-0.0005587140186836203,2.4837255000020377
rlbayes,8,5,4,0.625,-2.2513116495456016,-2.1781212789946145,-0.0005740001692400605,0.8072914999793284
qlearn,8,16,16,0.0,-2.356943568220839,-2.2874675550616033,-0.0011629423918524313,82.4457345000119
true,9,0,0,1.0,-2.2844430657614683,-2.239444149064058,-0.000633754085073823,3.00002284348011e-07
hc,9,0,0,1.0,-2.2844430657614683,-2.239444149064058,-0.000633754085073823,0.008710800029803067
tabu,9,0,0,1.0,-2.2844430657614683,-2.239444149064058,-0.000633754085073823,0.0076902000000700355
ges,9,2,0,0.75,-2.284443065761469,-2.2393293277927504,-0.0007173501348282113,2.5724571000318974
rlbayes,9,1,0,0.875,-2.2844430657614683,-2.239504233950067,-0.000693205716944659,0.8943188000121154
qlearn,9,11,13,0.2105263157894737,-2.375339765321986,-2.3230647134974927,-0.0016729958755216298,90.27312640001765
